Nome do Oficial,Sexo do Oficial,CPF do Oficial,Patente,Unidade,Número TJ,Descrição do Caso
Marcos Silva,Masculino,123.456.789-10,Sargento,12ª DP,2024-001,Abuso de Autoridade
Juliana Santos,Feminino,987.654.321-10,Tenente,7ª DP,2024-002,Corrupção
Rafael Costa,Masculino,456.789.123-10,Cabo,5ª DP,2024-003,Uso Excessivo de Força
Carla Pereira,Feminino,321.654.987-10,Sargento,3ª DP,2024-004,Extorsão
José Oliveira,Masculino,789.123.456-10,Soldado,9ª DP,2024-005,Violação de Direitos Humanos
Ana Souza,Feminino,654.987.321-10,Capitão,1ª DP,2024-006,Falsificação de Provas
Pedro Santos,Masculino,234.567.890-10,Tenente,8ª DP,2024-007,Evasão de Prisão
Fernanda Lima,Feminino,890.123.456-10,Cabo,4ª DP,2024-008,Má conduta durante abordagem
Gustavo Oliveira,Masculino,567.890.123-10,Sargento,6ª DP,2024-009,Suborno
Mariana Costa,Feminino,789.012.345-10,Soldado,10ª DP,2024-010,Discriminação Racial
